state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease
AL,82366,583033,0,1598,9893,379,1094,180,584,32510,B,1491,9893,663342,39620,407151,80309,1446,45,1251,6189,665399,665399,7440,665399,0,199
AR,40181,449725,0,501,2686,379,759,110,377,33188,A,428,2686,489906,39620,407151,40181,1900,149,734,4281,489906,489906,5015,489906,20,62
AS,0,1037,0,961,5109,379,759,180,197,0,C,0,5109,485619,39620,407151,0,1900,149,0,0,1037,1037,0,1037,0,0
AZ,165934,724997,0,2564,9394,814,759,574,197,21626,A+,3408,9394,890931,39620,407151,137710,2431,152,2107,10491,890931,890931,12598,890931,104,1643
CA,466550,6951316,0,8317,5109,2198,759,180,197,0,B,8518,5109,7417866,39620,407151,466550,1900,149,6000,115288,7417866,7417866,121288,7417866,73,0
CO,44565,455865,0,359,6271,379,759,180,197,5212,A,1668,6271,485619,39620,407151,41400,1900,149,229,2413,500430,500430,2642,500430,7,3
CT,49077,703611,0,54,10712,379,759,180,197,8516,B,4423,10712,750700,39620,407151,47089,3541,882,94,7543,752688,752688,7637,752688,5,0
DC,11945,166077,0,106,5109,20,759,9,197,9664,A+,583,5109,485619,39620,407151,38775,1900,149,87,3787,178022,178022,3874,178022,1,0
DE,14476,160147,0,62,5109,14,759,180,197,8076,A+,580,5109,485619,39620,407151,13480,510,70,70,1494,174623,174623,1564,174623,1,0
FL,441977,3038322,3017,8992,25280,379,759,180,197,0,A,6240,25280,4485040,555415,3912374,441977,6240,149,9230,39572,3483316,3480299,48802,3480299,191,590
GA,175052,1312274,0,3157,17544,379,3236,180,197,0,A,3563,17544,1487326,160824,1326502,175052,1900,149,4209,30154,1487326,1487326,34363,1487326,54,406
GU,349,20443,0,5,5109,2,759,180,197,291,B,5,5109,20773,39620,407151,341,1900,149,3,308,20792,20792,311,20792,0,0
HI,1711,112432,0,39,165,379,759,180,197,1191,D,26,165,143791,39620,407151,38775,1900,149,28,0,114143,114143,28,114143,0,2
IA,42777,414658,0,253,5109,75,759,31,197,30623,A+,839,5109,485619,39620,407151,42777,1900,149,223,2367,457435,457435,2590,457435,6,0
ID,18694,152023,0,209,750,40,224,180,197,5964,A,152,750,169588,39620,407151,17565,130,22,517,2206,170717,170717,2723,170717,6,9
IL,174973,2396734,0,1383,5109,329,759,128,197,0,A,7638,5109,2570465,39620,407151,173731,7446,192,1076,27255,2571707,2571707,28331,2571707,30,0
IN,63678,653131,0,907,8505,304,1772,69,197,44548,A+,2924,8505,485619,39620,407151,38775,2725,199,771,8247,716809,716809,9018,716809,18,61
KS,26172,252764,0,212,1644,58,465,24,171,1108,A+,335,1644,485619,39620,407151,38775,1900,149,0,0,278936,278936,0,278936,0,0
KY,28126,529587,0,584,3279,115,1132,180,197,7470,B,719,3279,485619,39620,407151,26656,715,4,525,9738,557713,557713,10263,557713,10,3
LA,111038,1165266,0,1583,5109,379,759,214,197,61456,A,3812,5109,485619,39620,407151,38775,3700,112,1121,15161,1276304,1276304,16282,1276304,26,0
MA,116182,1024934,0,364,11855,54,759,27,197,96452,A+,8551,11855,1468395,39620,407151,108740,8331,220,256,9703,1141116,1141116,9959,1141116,15,22
MD,85524,782732,0,544,12389,150,759,180,197,5592,A,3458,12389,1144696,39620,407151,85524,3327,131,648,12090,868256,868256,12738,868256,11,50
ME,3838,155262,0,12,384,7,759,2,197,3319,A+,121,384,158695,4786,153711,3433,120,1,6,1653,159100,159100,1659,159100,2,1
MI,87958,1639924,0,670,5109,195,759,135,197,57502,A+,6421,5109,1751875,111951,1639924,79176,6170,251,785,26608,1727882,1727882,27393,1727882,16,0
